Agency Name,Cost Pool,Fiscal Month,Cost,Fiscal Month (date),Fiscal & Calendar Month,Fiscal Year
WA ST Criminal Justice Train Comm,Software,Jul-2024,7984,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of the Secretary of State,Hardware,Jan-2025,7972,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Environmental and Land Use Hearings Offi,Outside Services,Aug-2024,7910,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Puget Sound Partnership,Telecom,Dec-2024,7854,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of State Auditor,Telecom,Jul-2024,7834,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Internal Services,Mar-2025,7816,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Wash State Health Care Authority,Other,Nov-2024,7787,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
East Wash State Historical Society,Hardware,Aug-2024,7784,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Transportation Improvement Board,Internal Labor,Jan-2025,7772,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Independent Investigations,Internal Services,Oct-2024,7750,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington Horse Racing Commission,Internal Services,Aug-2024,7745,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
The Evergreen State College,Internal Services,Mar-2025,7723,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
The Evergreen State College,Internal Services,Dec-2024,7723,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
State Board of Accountancy,Outside Services,Feb-2025,7689,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Military Department,Outside Services,Feb-2025,7626,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of State Auditor,Software,Mar-2025,7608,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Internal Services,Dec-2024,7599,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of Independent Investigations,Telecom,Dec-2024,7586,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Off of Minority & Women's Business,Software,Feb-2025,7553,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Revenue,Other,Sep-2024,7549,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Civil Legal Aid,Software,Oct-2024,7545,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Public Defense,Telecom,Jul-2024,7516,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of the Secretary of State,Other,Jan-2025,7515,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of the Secretary of State,Telecom,Nov-2024,7506,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Commerce,External Labor,Jul-2024,7444,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Commerce,Outside Services,Jul-2024,7427,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Puget Sound Partnership,Hardware,Sep-2024,7411,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Workforce Train & Educ Coord Board,Software,Dec-2024,7401,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
The Evergreen State College,Internal Services,Nov-2024,7385,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
State Lottery Commission,Hardware,Jan-2025,7358,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Deaf and Hard of Hearing Youth,Telecom,Jul-2024,7338,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Transportation Improvement Board,Internal Labor,Mar-2025,7338,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Transportation Improvement Board,Internal Labor,Feb-2025,7338,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Transportation Improvement Board,Internal Labor,Dec-2024,7334,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
State School for the Blind,Hardware,Dec-2024,7334,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of State Auditor,Hardware,Jan-2025,7297,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Liquor and Cannabis Board,Telecom,Nov-2024,7297,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Western Washington University,Other,Jul-2024,7293,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Wash Traffic Safety Commission,Software,Sep-2024,7269,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington State Gambling Comm,Hardware,Jul-2024,7175,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Independent Investigations,Internal Services,Feb-2025,7171,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Independent Investigations,Internal Services,Mar-2025,7171,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
East Wash State Historical Society,Telecom,Feb-2025,7152,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Wash Traffic Safety Commission,Internal Services,Nov-2024,7108,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Western Washington University,Other,Sep-2024,7097,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Internal Services,Feb-2025,7080,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Wash Traffic Safety Commission,Internal Services,Feb-2025,7075,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Wash Traffic Safety Commission,Internal Services,Dec-2024,7074,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Wash Traffic Safety Commission,Internal Services,Aug-2024,7066,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
County Road Administration Board,Software,Jul-2024,7062,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Independent Investigations,Internal Services,Dec-2024,7057,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
WA State Comm on Hispanic Affairs,Internal Services,Nov-2024,7049,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Internal Services,Nov-2024,7046,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
WA State Comm on Hispanic Affairs,Internal Services,Feb-2025,7045,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
WA State Comm on Hispanic Affairs,Internal Services,Dec-2024,7043,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
WA State Comm on Hispanic Affairs,Internal Services,Mar-2025,7043,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of Independent Investigations,Internal Services,Nov-2024,7042,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
WA State Comm on Hispanic Affairs,Internal Services,Sep-2024,7037,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Dept of Services for the Blind,Outside Services,Nov-2024,7030,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Internal Services,Sep-2024,7029,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Wash Traffic Safety Commission,Internal Services,Mar-2025,7022,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Transportation Improvement Board,Internal Labor,Sep-2024,7019,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Transportation Improvement Board,Internal Labor,Nov-2024,7019,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Transportation Improvement Board,Internal Labor,Oct-2024,7019,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Transportation Improvement Board,Internal Labor,Jul-2024,7015,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Transportation Improvement Board,Internal Labor,Aug-2024,7015,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington State Leadership Board,Internal Services,Nov-2024,7013,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington State Leadership Board,Internal Services,Feb-2025,7010,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Transportation Improvement Board,Internal Services,Nov-2024,7009,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington State Leadership Board,Internal Services,Mar-2025,7009,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Washington State Leadership Board,Internal Services,Sep-2024,7009,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington State Leadership Board,Internal Services,Dec-2024,7008,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington State Leadership Board,Internal Services,Oct-2024,7008,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington State Leadership Board,Internal Services,Jan-2025,7006,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Transportation Improvement Board,Internal Services,Feb-2025,7006,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Court of Appeals,Telecom,Sep-2024,6973,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Transportation Improvement Board,Internal Services,Sep-2024,6971,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Deaf and Hard of Hearing Youth,Other,Sep-2024,6958,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Transportation Improvement Board,Internal Services,Dec-2024,6931,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
State Investment Board,Telecom,Dec-2024,6887,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of Independent Investigations,Telecom,Sep-2024,6877,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Independent Investigations,Hardware,Oct-2024,6868,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Fish and Wildlife,Other,Oct-2024,6849,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
East Wash State Historical Society,Telecom,Nov-2024,6847,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Independent Investigations,Internal Services,Aug-2024,6828,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Statute Law Committee,Hardware,Aug-2024,6827,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Health,External Labor,Nov-2024,6825,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Independent Investigations,Internal Services,Sep-2024,6820,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Independent Investigations,Telecom,Aug-2024,6819,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Environmental and Land Use Hearings Offi,Telecom,Mar-2025,6812,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Western Washington University,External Labor,Dec-2024,6804,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of Public Defense,Internal Services,Jul-2024,6794,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Independent Investigations,Internal Services,Jul-2024,6779,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Transportation Improvement Board,Internal Services,Mar-2025,6759,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
State Parks and Recreation Comm,Facilities & Power,Sep-2024,6759,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Student Achievement Council,Hardware,Aug-2024,6756,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Bd for Vol Firefighter and Res Off,Internal Services,Aug-2024,6723,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Office of Insurance Commissioner,Hardware,Sep-2024,6720,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Legislative Support Services,Software,Mar-2025,6705,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
WA Pollution Liab Insurance Program,Hardware,Nov-2024,6704,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Student Achievement Council,Hardware,Feb-2025,6701,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Independent Investigations,Internal Services,Jan-2025,6697,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Central Washington University,Internal Services,Dec-2024,6684,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Fish and Wildlife,External Labor,Sep-2024,6684,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Central Washington University,Internal Services,Mar-2025,6684,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Central Washington University,Internal Services,Feb-2025,6683,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
LEG Evaluation & Account Prog Comm,Hardware,Oct-2024,6674,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington State Gambling Comm,Telecom,Feb-2025,6664,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Independent Investigations,Telecom,Jan-2025,6659,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
State Investment Board,Hardware,Sep-2024,6613,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Student Achievement Council,Other,Jan-2025,6596,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Student Achievement Council,Other,Aug-2024,6594,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
East Wash State Historical Society,Software,Aug-2024,6590,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
State Investment Board,Telecom,Oct-2024,6590,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
East Wash State Historical Society,Telecom,Oct-2024,6557,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington State Patrol,Other,Feb-2025,6535,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Public Defense,Telecom,Nov-2024,6513,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Deaf and Hard of Hearing Youth,Hardware,Mar-2025,6497,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Supt of Public Instruction,Telecom,Nov-2024,6470,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Archaeology & Historic Preservation,Software,Dec-2024,6464,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Senate,Software,Oct-2024,6456,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
East Wash State Historical Society,Internal Services,Dec-2024,6454,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
WA Pollution Liab Insurance Program,Software,Jul-2024,6454,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington State Gambling Comm,Telecom,Jan-2025,6446,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of the Governor,Hardware,Nov-2024,6440,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Public Defense,Telecom,Mar-2025,6439,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
East Wash State Historical Society,Internal Services,Nov-2024,6429,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Supreme Court,Telecom,Jan-2025,6412,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Workforce Train & Educ Coord Board,Internal Services,Dec-2024,6342,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Comm on Asian-Pacific Amer Affairs,Internal Services,Oct-2024,6331,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Comm on Asian-Pacific Amer Affairs,Internal Services,Jan-2025,6330,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of State Auditor,Telecom,Jan-2025,6324,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
East Wash State Historical Society,Internal Services,Feb-2025,6296,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
State School for the Blind,Telecom,Dec-2024,6295,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Dept of Financial Institutions,Hardware,Jul-2024,6290,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Independent Investigations,Hardware,Aug-2024,6262,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Office of Independent Investigations,Telecom,Nov-2024,6260,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Civil Legal Aid,Software,Aug-2024,6258,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington Horse Racing Commission,Internal Services,Jan-2025,6250,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Public Defense,Telecom,Jan-2025,6220,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Veterans Affairs,Software,Aug-2024,6205,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
LEG Evaluation & Account Prog Comm,Internal Services,Jul-2024,6189,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
State Parks and Recreation Comm,External Labor,Jul-2024,6182,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington Horse Racing Commission,Internal Services,Oct-2024,6177,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
LEG Evaluation & Account Prog Comm,Internal Services,Jan-2025,6173,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Insurance Commissioner,Telecom,Jan-2025,6173,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Public Disclosure Commission,Software,Dec-2024,6167,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
LEG Evaluation & Account Prog Comm,Internal Services,Oct-2024,6136,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Revenue,Software,Dec-2024,6115,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Governor's Office of Indian Affairs,Internal Services,Jan-2025,6097,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Ecology,Facilities & Power,Aug-2024,6084,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Governor's Office of Indian Affairs,Internal Services,Oct-2024,6083,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Ecology,Facilities & Power,Feb-2025,6079,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Ecology,Facilities & Power,Jan-2025,6055,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Liquor and Cannabis Board,Other,Sep-2024,6050,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Ecology,Facilities & Power,Mar-2025,6044,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
East Wash State Historical Society,Internal Services,Mar-2025,6041,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of Independent Investigations,Telecom,Oct-2024,6023,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Board of Indust Insurance Appeals,Outside Services,Mar-2025,6013,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Board of Indust Insurance Appeals,Outside Services,Nov-2024,6013,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Board of Indust Insurance Appeals,Outside Services,Jan-2025,6013,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Washington State Gambling Comm,Hardware,Nov-2024,6004,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Supreme Court,Software,Dec-2024,5997,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Software,Jan-2025,5992,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Recreation and Conservation Funding Boar,Software,Jul-2024,5960,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington State Gambling Comm,Telecom,Nov-2024,5952,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Bd for Vol Firefighter and Res Off,Outside Services,Dec-2024,5950,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
County Road Administration Board,Software,Feb-2025,5948,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
State Parks and Recreation Comm,Facilities & Power,Oct-2024,5921,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
State School for the Blind,Software,Jul-2024,5886,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Off of Minority & Women's Business,Telecom,Aug-2024,5873,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Office of Public Defense,Hardware,Dec-2024,5867,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
WA Pollution Liab Insurance Program,Internal Services,Feb-2025,5864,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
WA Pollution Liab Insurance Program,Internal Services,Mar-2025,5862,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of Public Defense,Telecom,Sep-2024,5856,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
WA Pollution Liab Insurance Program,Internal Services,Nov-2024,5849,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Energy Facility Site Evaluation Council,Internal Services,Aug-2024,5842,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Office of Public Defense,Telecom,Aug-2024,5838,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
WA ST Comm African-American Affairs,Internal Services,Jan-2025,5799,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
WA ST Comm African-American Affairs,Internal Services,Oct-2024,5797,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Joint LEG Audit & Review Committee,Software,Nov-2024,5796,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Military Department,Software,Mar-2025,5794,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Recreation and Conservation Funding Boar,Other,Oct-2024,5788,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
WA Pollution Liab Insurance Program,Internal Services,Dec-2024,5786,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
State Lottery Commission,Software,Jan-2025,5784,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Ecology,External Labor,Nov-2024,5768,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Enterprise Services,Other,Aug-2024,5768,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Court of Appeals,Telecom,Mar-2025,5767,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
State Parks and Recreation Comm,External Labor,Feb-2025,5766,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Services for the Blind,Hardware,Dec-2024,5759,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Commerce,Facilities & Power,Feb-2025,5702,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
East Wash State Historical Society,Hardware,Mar-2025,5694,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of the Governor,Software,Jul-2024,5691,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Off of Minority & Women's Business,Internal Services,Mar-2025,5668,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Off of Minority & Women's Business,Internal Services,Feb-2025,5662,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Off of Minority & Women's Business,Internal Services,Dec-2024,5660,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Puget Sound Partnership,Hardware,Aug-2024,5658,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Off of Minority & Women's Business,Internal Services,Sep-2024,5656,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Off of Minority & Women's Business,Internal Services,Nov-2024,5650,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Public Employment Relations Comm,Hardware,Oct-2024,5648,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
